date	sensor	value	cx	cy
2022-01-28T17:00:00Z	vpd03_p	2.02460274839037	823	895
2022-01-28T17:15:00Z	vpd03_p	2.05222868268794	823	895
2022-01-28T17:30:00Z	vpd03_p	2.0369515289786	823	895
2022-01-28T17:45:00Z	vpd03_p	2.02757977755123	823	895
2022-01-28T18:00:00Z	vpd03_p	1.99093605769144	823	895
2022-01-28T18:15:00Z	vpd03_p	1.97252986917657	823	895
2022-01-28T18:30:00Z	vpd03_p	1.98437412019092	823	895
2022-01-28T18:45:00Z	vpd03_p	1.97202964665941	823	895
2022-01-28T19:00:00Z	vpd03_p	1.9541236806617	823	895
2022-01-28T19:15:00Z	vpd03_p	1.87020258912808	823	895
2022-01-28T19:30:00Z	vpd03_p	1.75386691208523	823	895
2022-01-28T19:45:00Z	vpd03_p	1.68507400997428	823	895
2022-01-28T20:00:00Z	vpd03_p	1.6231977124849	823	895
2022-01-28T20:15:00Z	vpd03_p	1.56320693820169	823	895
2022-01-28T20:30:00Z	vpd03_p	1.51686432338036	823	895
2022-01-28T20:45:00Z	vpd03_p	1.47162861922457	823	895
2022-01-28T21:00:00Z	vpd03_p	1.44869066282423	823	895
2022-01-28T21:15:00Z	vpd03_p	1.4422705102249	823	895
2022-01-28T21:30:00Z	vpd03_p	1.42069491899691	823	895
2022-01-28T21:45:00Z	vpd03_p	1.41282339142623	823	895
2022-01-28T22:00:00Z	vpd03_p	1.40490453834732	823	895
2022-01-28T22:15:00Z	vpd03_p	1.39460832305897	823	895
2022-01-28T22:30:00Z	vpd03_p	1.38720306519839	823	895
2022-01-28T22:45:00Z	vpd03_p	1.37006316029275	823	895
2022-01-28T23:00:00Z	vpd03_p	1.35534202025712	823	895
2022-01-28T23:15:00Z	vpd03_p	1.33633936944981	823	895
2022-01-28T23:30:00Z	vpd03_p	1.32192987414284	823	895
2022-01-28T23:45:00Z	vpd03_p	1.30119482964725	823	895
2022-01-28T00:00:00Z	vpd04_p	1.28169212412685	1192	895
2022-01-28T00:15:00Z	vpd04_p	1.28632753868066	1192	895
2022-01-28T00:30:00Z	vpd04_p	1.29096295323446	1192	895
2022-01-28T00:45:00Z	vpd04_p	1.29559836778827	1192	895
2022-01-28T01:00:00Z	vpd04_p	1.30255148961897	1192	895
2022-01-28T01:15:00Z	vpd04_p	1.30718690417278	1192	895
2022-01-28T01:30:00Z	vpd04_p	1.31182231872658	1192	895
2022-01-28T01:45:00Z	vpd04_p	1.31877544055729	1192	895
2022-01-28T02:00:00Z	vpd04_p	1.32572856238799	1192	895
2022-01-28T02:15:00Z	vpd04_p	1.3303639769418	1192	895
2022-01-28T02:30:00Z	vpd04_p	1.30937319025327	1192	895
2022-01-28T02:45:00Z	vpd04_p	1.29319493017732	1192	895
2022-01-28T03:00:00Z	vpd04_p	1.29545576047483	1192	895
2022-01-28T03:15:00Z	vpd04_p	1.29191211796429	1192	895
2022-01-28T03:30:00Z	vpd04_p	1.29865252901454	1192	895
2022-01-28T03:45:00Z	vpd04_p	1.31580323315245	1192	895
2022-01-28T04:00:00Z	vpd04_p	1.30988654743162	1192	895
